"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO"
"DULCE MARIA ROBERTO DE LIMA";"CEARA";"DEPUTADO ESTADUAL";"19345";"PODEMOS"
"EBER GONCALVES DE MORAIS";"MINAS GERAIS";"DEPUTADO ESTADUAL";"51535";"PATRIOTA"
"EDCARLOS DA CONCEICAO SANTOS";"BAHIA";"DEPUTADO ESTADUAL";"31420";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"EDER FERNANDO MACHADO";"RONDONIA";"DEPUTADO ESTADUAL";"23456";"PARTIDO POPULAR SOCIALISTA"
"EDER JOFRE GUANDALINI";"SAO PAULO";"DEPUTADO ESTADUAL";"44448";"PARTIDO REPUBLICANO PROGRESSISTA"
"EDILON MELO DE QUEIROZ";"AMAZONAS";"1º SUPLENTE";"656";"PARTIDO COMUNISTA DO BRASIL"
"EDILSON DE JESUS";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"70192";"AVANTE"
"EDILSON MASSOCCO";"SANTA CATARINA";"DEPUTADO ESTADUAL";"22150";"PARTIDO DA REPUBLICA"
"EDIMILSON DIAS BARBOSA";"PARANA";"DEPUTADO ESTADUAL";"35888";"PARTIDO DA MULHER BRASILEIRA"
"EDIMILSON DIAS PEREIRA";"RIO DE JANEIRO";"2º SUPLENTE";"200";"PARTIDO SOCIAL CRISTAO"
"EDINALDO CONCEICAO DOS SANTOS";"BAHIA";"DEPUTADO FEDERAL";"4444";"PARTIDO REPUBLICANO PROGRESSISTA"
"EDINALDO FERNANDES DE SOUZA";"ACRE";"DEPUTADO ESTADUAL";"27777";"DEMOCRACIA CRISTA"
"EDINALDO LIMA PANTOJA";"AMAPA";"DEPUTADO ESTADUAL";"22133";"PARTIDO DA REPUBLICA"
"EDISON CARLOS BORTOLUCCI JUNIOR";"SAO PAULO";"DEPUTADO FEDERAL";"4363";"PARTIDO VERDE"
"EDISON RIBEIRO";"SAO PAULO";"DEPUTADO ESTADUAL";"17112";"PARTIDO SOCIAL LIBERAL"
"EDIVAN DE SOUSA FERNANDES";"GOIAS";"DEPUTADO ESTADUAL";"18006";"REDE SUSTENTABILIDADE"
"EDJANE DOS SANTOS";"ALAGOAS";"DEPUTADO FEDERAL";"2514";"DEMOCRATAS"
"EDLAMAR APARECIDA SIQUEIRA";"SAO PAULO";"DEPUTADO ESTADUAL";"33133";"PARTIDO DA MOBILIZACAO NACIONAL"
"EDMILSA MORAIS BRITO";"AMAPA";"DEPUTADO ESTADUAL";"36192";"PARTIDO TRABALHISTA CRISTAO"
"EDMILSON CAMPOS";"MARANHAO";"DEPUTADO ESTADUAL";"20789";"PARTIDO SOCIAL CRISTAO"
"EDNARA RIBEIRO VERAS";"RORAIMA";"DEPUTADO ESTADUAL";"17162";"PARTIDO SOCIAL LIBERAL"
"EDNEY DOMINGUES MARTINS";"GOIAS";"DEPUTADO ESTADUAL";"33321";"PARTIDO DA MOBILIZACAO NACIONAL"
"EDSON ASSIS DE ARAUJO";"ACRE";"DEPUTADO ESTADUAL";"10789";"PARTIDO REPUBLICANO BRASILEIRO"
"EDSON CARLOS DA SILVA";"SAO PAULO";"DEPUTADO FEDERAL";"5433";"PARTIDO PATRIA LIVRE"
"EDSON CRIVELLI";"SAO PAULO";"DEPUTADO FEDERAL";"3100";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"EDSON DORTA SILVA";"SAO PAULO";"GOVERNADOR";"29";"PARTIDO DA CAUSA OPERARIA"
"EDSON GONCALVES CUNHA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"70352";"AVANTE"
"EDSON GUSMAO DOS SANTOS";"MINAS GERAIS";"DEPUTADO ESTADUAL";"14141";"PARTIDO TRABALHISTA BRASILEIRO"
"EDSON VANDER DA CRUZ";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"23111";"PARTIDO POPULAR SOCIALISTA"
"EDUARDO ANGELO DE MACEDO LUCENA";"GOIAS";"2º SUPLENTE";"251";"PARTIDO DA MOBILIZACAO NACIONAL"
"EDUARDO ANTONIO MACEDO HOLANDA";"ALAGOAS";"DEPUTADO ESTADUAL";"55000";"PARTIDO SOCIAL DEMOCRATICO"
"EDUARDO ANTONIO RODRIGUES";"DISTRITO FEDERAL";"DEPUTADO FEDERAL";"4500";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"EDUARDO DA SILVA BUENO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"55515";"PARTIDO SOCIAL DEMOCRATICO"
"EDUARDO LESSA DE ARAUJO";"SAO PAULO";"DEPUTADO ESTADUAL";"65114";"PARTIDO COMUNISTA DO BRASIL"
"EDUARDO PESSOA CRUCHO CUNHA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"90900";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"EDVALDA LOPES DA SILVA";"MINAS GERAIS";"DEPUTADO FEDERAL";"3686";"PARTIDO TRABALHISTA CRISTAO"
"EDVALDO ALVES DE LIMA";"PERNAMBUCO";"DEPUTADO FEDERAL";"3636";"PARTIDO TRABALHISTA CRISTAO"
"EDVALDO DE BARROS CORREIA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"10410";"PARTIDO REPUBLICANO BRASILEIRO"
"EDVALDO DOS SANTOS";"SERGIPE";"2º SUPLENTE";"200";"PARTIDO TRABALHISTA CRISTAO"
"EDVANDO LUIZ CASTRO PINTO";"BAHIA";"DEPUTADO ESTADUAL";"28880";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ELCYO SANTOS DA COSTA";"SAO PAULO";"DEPUTADO FEDERAL";"3343";"PARTIDO DA MOBILIZACAO NACIONAL"
"ELEITA MAGALHAES ASSUNCAO";"SAO PAULO";"DEPUTADO ESTADUAL";"70089";"AVANTE"
"ELENIR DE AGUIAR SILVANO";"SANTA CATARINA";"DEPUTADO FEDERAL";"1522";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"ELEONIR JOSE PELICIOLI";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"65365";"PARTIDO COMUNISTA DO BRASIL"
"ELEUDES CELESTINA DOS SANTOS";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"20111";"PARTIDO SOCIAL CRISTAO"
"ELI GOMES RAMOS";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"33450";"PARTIDO DA MOBILIZACAO NACIONAL"
"ELIANA APARECIDA SCORSE";"SAO PAULO";"DEPUTADO FEDERAL";"5178";"PATRIOTA"
"ELIANA NASCIMENTO DE SOUZA GUEDES";"AMAZONAS";"DEPUTADO ESTADUAL";"19013";"PODEMOS"
"ELIANE BARBARA CARDOSO DE LEMOS";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"2802";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ELIANE BORGES DO NASCIMENTO";"RONDONIA";"DEPUTADO ESTADUAL";"35898";"PARTIDO DA MULHER BRASILEIRA"
"ELIANE DA SILVA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"28019";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ELIANE MEIRELES DOS SANTOS";"MINAS GERAIS";"DEPUTADO ESTADUAL";"70950";"AVANTE"
"ELIANE SANTOS DE SOUZA";"RONDONIA";"DEPUTADO ESTADUAL";"44544";"PARTIDO REPUBLICANO PROGRESSISTA"
"ELIAS CARLOS PAIVA";"RONDONIA";"DEPUTADO ESTADUAL";"23100";"PARTIDO POPULAR SOCIALISTA"
"ELIAS DA SILVA PRESTES";"SAO PAULO";"DEPUTADO ESTADUAL";"51962";"PATRIOTA"
"ELIAS NERY LOPES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"28058";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ELIENAI MENDONCA DE MORAES SOUZA";"PARA";"DEPUTADO FEDERAL";"3617";"PARTIDO TRABALHISTA CRISTAO"
"ELIENE BRAZ FALCAO DE SOUZA";"RONDONIA";"DEPUTADO FEDERAL";"3500";"PARTIDO DA MULHER BRASILEIRA"
"ELIETE DE SIQUEIRA SILVA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1997";"PODEMOS"
"ELIETE PINHEIRO FERREIRA";"PARA";"DEPUTADO ESTADUAL";"51248";"PATRIOTA"
"ELIEZER BARBOZA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"36375";"PARTIDO TRABALHISTA CRISTAO"
"ELISABETE GUILHERME RAIMUNDO";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"15001";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"ELISABETE SOARES DE ASSIS";"RONDONIA";"DEPUTADO ESTADUAL";"36100";"PARTIDO TRABALHISTA CRISTAO"
"ELISEU KADESH ROSA ASSUNCAO";"DISTRITO FEDERAL";"2º SUPLENTE";"333";"PATRIOTA"
"ELISMAN SILVA OLIVEIRA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"36147";"PARTIDO TRABALHISTA CRISTAO"
"ELISSANDRO UMBELINO";"RONDONIA";"DEPUTADO ESTADUAL";"35535";"PARTIDO DA MULHER BRASILEIRA"
"ELIZA ROCHA MACIEL";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"90900";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"ELIZABETH DE PAULA RODRIGUES";"PARANA";"DEPUTADO ESTADUAL";"51159";"PATRIOTA"
"ELIZABETH PEREIRA CASTRO";"AMAZONAS";"DEPUTADO FEDERAL";"1510";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"ELIZANGELA PEREIRA DAMACENA";"ESPIRITO SANTO";"DEPUTADO FEDERAL";"2822";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ELMA MOISES DAVID";"TOCANTINS";"DEPUTADO ESTADUAL";"20000";"PARTIDO SOCIAL CRISTAO"
"ELOISE MACIEL CASSITA FARINA";"RONDONIA";"DEPUTADO FEDERAL";"2550";"DEMOCRATAS"
"ELSO DA SILVA LIMA";"AMAZONAS";"DEPUTADO ESTADUAL";"44443";"PARTIDO REPUBLICANO PROGRESSISTA"
"ELVES LUIZ DE SOUZA";"BAHIA";"DEPUTADO ESTADUAL";"17017";"PARTIDO SOCIAL LIBERAL"
"ELZA MARIA CICCARELLI DE ARRUDA LEME";"SAO PAULO";"DEPUTADO ESTADUAL";"12791";"PARTIDO DEMOCRATICO TRABALHISTA"
"EMERSON RUI BARROS DOS SANTOS";"BAHIA";"DEPUTADO ESTADUAL";"17654";"PARTIDO SOCIAL LIBERAL"
"EMIRALDO ALBUQUERQUE DE ARAUJO";"AMAZONAS";"DEPUTADO ESTADUAL";"77111";"SOLIDARIEDADE"
"EMIVAL GONCALVES FERREIRA";"GOIAS";"DEPUTADO ESTADUAL";"17550";"PARTIDO SOCIAL LIBERAL"
"EMMANUEL CAETANO LOBO DAMASO DE OLIVEIRA GOMES ALVES FERREIRA";"PARANA";"DEPUTADO FEDERAL";"2929";"PARTIDO DA CAUSA OPERARIA"
"ENIO BRITO DE SA";"GOIAS";"DEPUTADO ESTADUAL";"50456";"PARTIDO SOCIALISMO E LIBERDADE"
"ENOK DE OLIVEIRA LIMA";"PARA";"2º SUPLENTE";"361";"PARTIDO TRABALHISTA CRISTAO"
"ENY NASCIMENTO JESUS";"SAO PAULO";"DEPUTADO FEDERAL";"4443";"PARTIDO REPUBLICANO PROGRESSISTA"
"ERASMO LOPES DA SILVA";"RONDONIA";"DEPUTADO FEDERAL";"3533";"PARTIDO DA MULHER BRASILEIRA"
"ERCILIO ANTONIO COMPARIN";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"43222";"PARTIDO VERDE"
"ERICA MARIA ALVES DA SILVA";"SAO PAULO";"DEPUTADO ESTADUAL";"70740";"AVANTE"
"ERICKA SOARES VIEIRA";"AMAZONAS";"DEPUTADO ESTADUAL";"43403";"PARTIDO VERDE"
"ERICKA YORRANY DIAS DE OLIVEIRA";"SANTA CATARINA";"DEPUTADO ESTADUAL";"43210";"PARTIDO VERDE"
"ERIVALDO PAULINO DA SILVA";"ALAGOAS";"DEPUTADO ESTADUAL";"12555";"PARTIDO DEMOCRATICO TRABALHISTA"
"ERNANDES SANTOS AMORIM";"RONDONIA";"DEPUTADO ESTADUAL";"22022";"PARTIDO DA REPUBLICA"
"ERROLFLYNN DE SOUZA PAIXAO";"AMAPA";"DEPUTADO FEDERAL";"1333";"PARTIDO DOS TRABALHADORES"
"ESLON AGUIAR MARTINS";"PARA";"1º SUPLENTE";"111";"PARTIDO PROGRESSISTA"
"ESTELA ALESSANDRA VANIN";"GOIAS";"DEPUTADO ESTADUAL";"28751";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ESTER MARIADE JESUS";"SAO PAULO";"DEPUTADO FEDERAL";"3352";"PARTIDO DA MOBILIZACAO NACIONAL"
"ESTEVAO ASSUNCAO ARAGAO";"MARANHAO";"DEPUTADO ESTADUAL";"45123";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"EUCLIDES BENTO BRANDAO";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"50117";"PARTIDO SOCIALISMO E LIBERDADE"
"EUCLIDES CHAVES DE CARVALHO JUNIOR";"GOIAS";"DEPUTADO FEDERAL";"3100";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"EUCLIDES DA SILVA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"65777";"PARTIDO COMUNISTA DO BRASIL"
"EUGENILSON SILVA COSTA";"RORAIMA";"DEPUTADO ESTADUAL";"51789";"PATRIOTA"
"EUGENIO DANILO CARREIRA TAVARES TOMAGNINI";"SAO PAULO";"DEPUTADO FEDERAL";"3309";"PARTIDO DA MOBILIZACAO NACIONAL"
"EURIPEDES GOMES DE MACEDO JUNIOR";"DISTRITO FEDERAL";"1º SUPLENTE";"144";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"EURIPEDES JOSE ROSA";"GOIAS";"DEPUTADO ESTADUAL";"31147";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"EVA DOS SANTOS AUGUSTO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"31978";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"EVA MARIA SALAMON KRIBELY";"SAO PAULO";"DEPUTADO FEDERAL";"3338";"PARTIDO DA MOBILIZACAO NACIONAL"
"EVANDRO OLIVEIRA SIQUEIRA";"MARANHAO";"DEPUTADO ESTADUAL";"13678";"PARTIDO DOS TRABALHADORES"
"EVANILDO DO NASCIMENTO CARVALHO";"PARAIBA";"DEPUTADO ESTADUAL";"40171";"PARTIDO SOCIALISTA BRASILEIRO"
"EVERALDO AMERICO CONCEICAO FILHO";"BAHIA";"DEPUTADO ESTADUAL";"17999";"PARTIDO SOCIAL LIBERAL"
"EVERTON BARBOSA DA HORA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"44770";"PARTIDO REPUBLICANO PROGRESSISTA"
"EWERTON CAMPOS WANDERLEY ";"AMAZONAS";"DEPUTADO ESTADUAL";"31789";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"EZEQUIA DE SOUZA";"GOIAS";"DEPUTADO ESTADUAL";"90125";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"FABIA ABADIA DOS SANTOS";"MINAS GERAIS";"DEPUTADO ESTADUAL";"28096";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"FABIANA VELOSO DOS SANTOS";"PARAIBA";"DEPUTADO ESTADUAL";"13007";"PARTIDO DOS TRABALHADORES"
"FABIANE ESTEVAO DA SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"90959";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"FABIANO DE PAIVA MARTINS";"SAO PAULO";"DEPUTADO FEDERAL";"5143";"PATRIOTA"
"FABIO ALEXANDRE MARCHESI SOLER";"ACRE";"DEPUTADO ESTADUAL";"45321";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"FABIO HENRIQUE DOS SANTOS PEVIANI";"ACRE";"DEPUTADO ESTADUAL";"14000";"PARTIDO TRABALHISTA BRASILEIRO"
"FABIO JOSE FERRAZ";"SAO PAULO";"DEPUTADO ESTADUAL";"50875";"PARTIDO SOCIALISMO E LIBERDADE"
"FABIO LEMES DE SOUZA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"70200";"AVANTE"
"FABIO NASCIMENTO ALMEIDA";"BAHIA";"DEPUTADO ESTADUAL";"17111";"PARTIDO SOCIAL LIBERAL"
"FABIULA FERNANDA BEZERRA MOURA";"SAO PAULO";"DEPUTADO ESTADUAL";"51101";"PATRIOTA"
"FAGNER MARCELO SANTOS BECKER";"RIO GRANDE DO SUL";"2º SUPLENTE";"190";"PODEMOS"
"FATIMA APARECIDA DE ANDRADE ";"GOIAS";"DEPUTADO ESTADUAL";"18013";"REDE SUSTENTABILIDADE"
"FELIPE CESAR BORGES SAUL";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1992";"PODEMOS"
"FELIX VALUAR DE SOUSA BARROS";"TOCANTINS";"DEPUTADO ESTADUAL";"25678";"DEMOCRATAS"
"FERNANDA APARECIDA DOS SANTOS";"SAO PAULO";"DEPUTADO ESTADUAL";"13700";"PARTIDO DOS TRABALHADORES"
"FERNANDA BRITO FARIAS";"BAHIA";"DEPUTADO FEDERAL";"3603";"PARTIDO TRABALHISTA CRISTAO"
"FERNANDA KAISSA DO NASCIMENTO SILVA";"AMAZONAS";"DEPUTADO FEDERAL";"7023";"AVANTE"
"FERNANDA KARINA RAMOS SOMAGGIO";"SAO PAULO";"DEPUTADO FEDERAL";"1909";"PODEMOS"
"FERNANDA LIMA CASEMIRO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"5054";"PARTIDO SOCIALISMO E LIBERDADE"
"FERNANDO AFFONSO COLLOR DE MELLO";"ALAGOAS";"GOVERNADOR";"36";"PARTIDO TRABALHISTA CRISTAO"
"FERNANDO CORDIOLI GARCIA";"SANTA CATARINA";"DEPUTADO FEDERAL";"5105";"PATRIOTA"
"FERNANDO DA CUNHA";"SANTA CATARINA";"DEPUTADO FEDERAL";"3699";"PARTIDO TRABALHISTA CRISTAO"
"FERNANDO DE ALMEIDA PIMENTEL";"MARANHAO";"DEPUTADO ESTADUAL";"31555";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"FERNANDO DE CASTRO RAMOS";"PERNAMBUCO";"DEPUTADO FEDERAL";"4444";"PARTIDO REPUBLICANO PROGRESSISTA"
"FERNANDO JOSE DOS SANTOS";"PERNAMBUCO";"DEPUTADO ESTADUAL";"31310";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"FERNANDO LEITE SIQUEIRA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"5454";"PARTIDO PATRIA LIVRE"
"FERNANDO MELQUIADES ELIAS";"SANTA CATARINA";"DEPUTADO ESTADUAL";"44789";"PARTIDO REPUBLICANO PROGRESSISTA"
"FERNANDO MORO";"SAO PAULO";"DEPUTADO FEDERAL";"4436";"PARTIDO REPUBLICANO PROGRESSISTA"
"FERNANDO SILVA DE LIMA";"PARA";"DEPUTADO ESTADUAL";"31600";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"FERNANDO SILVA DOS SANTOS";"SAO PAULO";"DEPUTADO ESTADUAL";"33000";"PARTIDO DA MOBILIZACAO NACIONAL"
"FERNANDO VEIGA NEVES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"90010";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"FILIPE DE PINHO ALVES BARRETO CAMPELO";"SAO PAULO";"DEPUTADO ESTADUAL";"28678";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"FLAUCIO DE ARAUJO GUIMARAES";"PERNAMBUCO";"DEPUTADO FEDERAL";"2800";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"FLAUSINO DOMINGOS DA SILVA NETO";"GOIAS";"DEPUTADO ESTADUAL";"15000";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"FLAVIA DA SILVA TEODORO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"65198";"PARTIDO COMUNISTA DO BRASIL"
"FLAVIO DA COSTA SILVA";"ALAGOAS";"1º SUPLENTE";"511";"PATRIOTA"
"FLAVIO FERREIRA AMARAL";"SANTA CATARINA";"VICE-GOVERNADOR";"29";"PARTIDO DA CAUSA OPERARIA"
"FLAVIO LUIZ SILVA DE SOUZA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"25123";"DEMOCRATAS"
"FLODOALDO RODRIGUES VIEIRA";"PARA";"2º SUPLENTE";"360";"PARTIDO TRABALHISTA CRISTAO"
"FLORINDA MOREIRA LOMBARDI";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"16016";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO"
"FORTUNATO DE NAZARE AVELAR DE ALMEIDA";"AMAZONAS";"DEPUTADO ESTADUAL";"65105";"PARTIDO COMUNISTA DO BRASIL"
"FRANCIELLE DE SOUSA ISECKE";"TOCANTINS";"DEPUTADO FEDERAL";"1940";"PODEMOS"
"FRANCIELY PEREIRA DOS ANJOS ARAUJO";"GOIAS";"DEPUTADO ESTADUAL";"90002";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"FRANCIMAR MARIA JOSE RAMOS VICTOR";"PARAIBA";"DEPUTADO ESTADUAL";"51222";"PATRIOTA"
"FRANCINALDO LEITE";"MARANHAO";"DEPUTADO FEDERAL";"2166";"PARTIDO COMUNISTA BRASILEIRO"
"FRANCISCA AUDEIDE RODRIGUES DO NASCIMENTO";"TOCANTINS";"DEPUTADO ESTADUAL";"23777";"PARTIDO POPULAR SOCIALISTA"
"FRANCISCA AUGUSTA DE OLIVEIRA";"RONDONIA";"DEPUTADO ESTADUAL";"35001";"PARTIDO DA MULHER BRASILEIRA"
"FRANCISCA AURINETE VIEIRA DE SOUSA FELIX";"CEARA";"DEPUTADO FEDERAL";"1522";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"FRANCISCA CLEIA SOUZA CARVALHO";"DISTRITO FEDERAL";"2º SUPLENTE";"777";"PARTIDO SOCIAL DEMOCRATICO"
"FRANCISCA CLEMENTINO DE SOUSA";"SAO PAULO";"DEPUTADO FEDERAL";"1974";"PODEMOS"
"FRANCISCA EDNA FERNANDES DA SILVA";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"43433";"PARTIDO VERDE"
"FRANCISCA LIMA MARCAL";"MARANHAO";"DEPUTADO ESTADUAL";"17223";"PARTIDO SOCIAL LIBERAL"
"FRANCISCA REGILDA DO VALE ARAUJO";"MARANHAO";"DEPUTADO ESTADUAL";"50777";"PARTIDO SOCIALISMO E LIBERDADE"
"FRANCISCO ALEXANDRE ALVES DE LIMA";"CEARA";"DEPUTADO FEDERAL";"4477";"PARTIDO REPUBLICANO PROGRESSISTA"
"FRANCISCO CARLOS FIRMINO DE SOUSA";"PARAIBA";"DEPUTADO ESTADUAL";"15666";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"FRANCISCO CLEANS ALMEIDA BOMFIM";"PARA";"DEPUTADO ESTADUAL";"43555";"PARTIDO VERDE"
"FRANCISCO DA SILVA DJU";"AMAPA";"DEPUTADO ESTADUAL";"51000";"PATRIOTA"
"FRANCISCO DAS CHAGAS LOPES CRUZ";"PIAUI";"DEPUTADO FEDERAL";"4344";"PARTIDO VERDE"
"FRANCISCO DAS CHAGAS MENDES DA SILVA";"PIAUI";"DEPUTADO FEDERAL";"5050";"PARTIDO SOCIALISMO E LIBERDADE"
"FRANCISCO DAS CHAGAS RODRIGUES LIMA";"SAO PAULO";"DEPUTADO FEDERAL";"2761";"DEMOCRACIA CRISTA"
"FRANCISCO DAS CHAGAS ROGERIO JACOME COSTA";"MARANHAO";"DEPUTADO ESTADUAL";"45555";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"FRANCISCO DE ASSIS DAS CHAGAS SOARES";"SAO PAULO";"DEPUTADO FEDERAL";"3340";"PARTIDO DA MOBILIZACAO NACIONAL"
"FRANCISCO DE ASSIS MILHOMEM COELHO";"MARANHAO";"DEPUTADO ESTADUAL";"25110";"DEMOCRATAS"
"FRANCISCO DOMINGUES DE FARIA";"GOIAS";"DEPUTADO ESTADUAL";"11123";"PARTIDO PROGRESSISTA"
"FRANCISCO FRANCINELIO SABINO DE OLIVEIRA";"PARA";"DEPUTADO ESTADUAL";"23800";"PARTIDO POPULAR SOCIALISTA"
"FRANCISCO GILMAR DE MACEDO";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"77210";"SOLIDARIEDADE"
"FRANCISCO GOMES DE ARAUJO";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"10223";"PARTIDO REPUBLICANO BRASILEIRO"
"FRANCISCO GOMES DE PAIVA";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"10110";"PARTIDO REPUBLICANO BRASILEIRO"
"FRANCISCO HENRIQUE DE ARAGAO";"SERGIPE";"DEPUTADO ESTADUAL";"21121";"PARTIDO COMUNISTA BRASILEIRO"
"FRANCISCO JORGE RIBEIRO GUIMARAES";"AMAZONAS";"VICE-GOVERNADOR";"40";"PARTIDO DOS TRABALHADORES"
"FRANCISCO JOSE GONCALVES PEREIRA";"ESPIRITO SANTO";"DEPUTADO FEDERAL";"2800";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"FRANCISCO LOPES PESSOA";"ACRE";"DEPUTADO ESTADUAL";"40999";"PARTIDO SOCIALISTA BRASILEIRO"
"FRANCISCO MAXIMIANO NUNES MOURA";"CEARA";"2º SUPLENTE";"160";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO"
"FRANCISCO ROCHA E SILVA JUNIOR";"PIAUI";"DEPUTADO FEDERAL";"4500";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"FRANCISCO WILLAME CORREIA DE LIMA";"CEARA";"DEPUTADO FEDERAL";"1500";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"FRANCIVALDO MENDES CRUZ";"MARANHAO";"DEPUTADO ESTADUAL";"45321";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"FRANKLIN ROBERTO DE LIMA SOUZA";"MINAS GERAIS";"DEPUTADO FEDERAL";"1115";"PARTIDO PROGRESSISTA"
"GABRIELA GUIMARAES CARNEIRO";"MINAS GERAIS";"DEPUTADO FEDERAL";"3535";"PARTIDO DA MULHER BRASILEIRA"
"GARCIMAR BRASILEIRO LANDIM";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"10100";"PARTIDO REPUBLICANO BRASILEIRO"
"GEIZA MARTINS DOS SANTOS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"90903";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"GELCI LEAO CARDOSO PORTO";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"4408";"PARTIDO REPUBLICANO PROGRESSISTA"
"GELMA FERREIRA BRABO";"PARA";"DEPUTADO ESTADUAL";"51233";"PATRIOTA"
"GENESIO BARCELOS";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"15666";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"GENILSON PEREIRA DA SILVA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"19231";"PODEMOS"
"GENIVALDO DOS SANTOS";"SERGIPE";"DEPUTADO ESTADUAL";"23322";"PARTIDO POPULAR SOCIALISTA"
"GEORGE THADEU FRANCA CAMPOS";"SERGIPE";"2º SUPLENTE";"177";"PARTIDO SOCIAL LIBERAL"
