"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO";"SITUACAO"
"ACRAILTON FORDE";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3678";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"ACSA JUNIA GERMANO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"31712";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ACUCENA LIRA LINS";"PERNAMBUCO";"DEPUTADO FEDERAL";"3332";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"SUPLENTE"
"ADA CLEIA SICHINEL DANTAS BOABAID";"RONDONIA";"DEPUTADO FEDERAL";"3399";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"NAO ELEITO"
"ADA LILI FARACO DE LUCA";"SANTA CATARINA";"DEPUTADO ESTADUAL";"15015";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"ELEITO POR MEDIA"
"ADACIR GERALDO CARLOTTO";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"3141";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"NAO ELEITO"
"ADAIAS DA COSTA OLIVEIRA";"PARA";"DEPUTADO ESTADUAL";"11011";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ADAIAS NERI DO NASCIMENTO";"PERNAMBUCO";"DEPUTADO ESTADUAL";"90469";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ADAIL ALVES CELESTINO";"AMAZONAS";"DEPUTADO ESTADUAL";"70200";"AVANTE";"1";"NAO ELEITO"
"ADAIL EDMUNDO LIMA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"15600";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ADAIL FERNANDES VIEIRA JUNIOR";"CEARA";"DEPUTADO ESTADUAL";"12777";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ADAIL GOMES DOS SANTOS JUNIOR";"AMAPA";"DEPUTADO ESTADUAL";"11124";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ADAIL JOSE PEREIRA DA SILVA";"CEARA";"DEPUTADO ESTADUAL";"19678";"PODEMOS";"1";"SUPLENTE"
"ADAIL JOSE SILVA FERREIRA";"CEARA";"DEPUTADO ESTADUAL";"36123";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"ADAILTO BARROS DE SOUZA";"PARAIBA";"DEPUTADO FEDERAL";"7033";"AVANTE";"1";"NAO ELEITO"
"ADAILTO GONCALVES DOS SANTOS";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"27123";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"ADAILTON ALVES FERNANDES";"RORAIMA";"DEPUTADO ESTADUAL";"17888";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADAILTON ANTUNES FERREIRA";"RONDONIA";"DEPUTADO ESTADUAL";"55000";"PARTIDO SOCIAL DEMOCRATICO";"1";"ELEITO POR MEDIA"
"ADAILTON BRANDAO VIEIRA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"90033";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ADAILTON CERQUEIRA SANTOS JUNIOR";"SAO PAULO";"DEPUTADO FEDERAL";"2212";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"ADAILTON FLORENTINO DO NASCIMENTO";"GOIAS";"DEPUTADO ESTADUAL";"11900";"PARTIDO PROGRESSISTA";"1";"ELEITO POR QP"
"ADAILTON MARTINS DE OLIVEIRA FILHO ";"SERGIPE";"DEPUTADO ESTADUAL";"55123";"PARTIDO SOCIAL DEMOCRATICO";"1";"ELEITO POR MEDIA"
"ADAILTON MARTINS DOS SANTOS";"MARANHAO";"DEPUTADO ESTADUAL";"13777";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ADAILTON MENDES GALVAO";"RORAIMA";"DEPUTADO ESTADUAL";"35999";"PARTIDO DA MULHER BRASILEIRA";"1";"SUPLENTE"
"ADAILTON RESENDE SOUSA";"SERGIPE";"1º SUPLENTE";"100";"PARTIDO DA REPUBLICA";"1";"NAO ELEITO"
"ADAILTON SANTOS DIAS";"BAHIA";"DEPUTADO FEDERAL";"9099";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ADAIR FERREIRA DE ALMEIDA";"PARANA";"DEPUTADO FEDERAL";"3669";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"ADAIR OTAVIANO DE OLIVEIRA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"15555";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"ADAIR RUFINO DA SILVA FILHO";"MATO GROSSO";"DEPUTADO ESTADUAL";"45789";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ADAIRES PEDROSA DOS SANTOS";"PARA";"DEPUTADO ESTADUAL";"31458";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ADAIRTO DA ROSA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"43600";"PARTIDO VERDE";"1";"SUPLENTE"
"ADAIRTON MEDEIROS BARBOSA";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"13111";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ADALBERTO ALENCAR ALVES";"PERNAMBUCO";"DEPUTADO FEDERAL";"5088";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ADALBERTO CARLOS RIGOBELLO";"PARANA";"DEPUTADO FEDERAL";"4399";"PARTIDO VERDE";"1";"SUPLENTE"
"ADALBERTO CAVALCANTI RODRIGUES";"PERNAMBUCO";"DEPUTADO FEDERAL";"7000";"AVANTE";"1";"SUPLENTE"
"ADALBERTO DE SOUZA RABELO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3501";"PARTIDO DA MULHER BRASILEIRA";"1";"NAO ELEITO"
"ADALBERTO DUTRA ROCHA";"BAHIA";"DEPUTADO FEDERAL";"2588";"DEMOCRATAS";"1";"SUPLENTE"
"ADALBERTO GODOY FREITAS";"SAO PAULO";"DEPUTADO ESTADUAL";"17079";"PARTIDO SOCIAL LIBERAL";"1";"ELEITO POR QP"
"ADALBERTO IMBROSIO OLIVEIRA";"DISTRITO FEDERAL";"DEPUTADO FEDERAL";"4444";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"ADALBERTO JOSE DA SILVA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"25123";"DEMOCRATAS";"1";"SUPLENTE"
"ADALBERTO LEOCADIO DA SILVA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"36111";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"ADALBERTO MARIANO DOS SANTOS";"SAO PAULO";"DEPUTADO FEDERAL";"5180";"PATRIOTA";"1";"NAO ELEITO"
"ADALBERTO MONTEIRO";"DISTRITO FEDERAL";"VICE-GOVERNADOR";"44";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"ADALBERTO MUNIZ DA SILVA";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"19144";"PODEMOS";"1";"NAO ELEITO"
"ADALBERTO RIBEIRO ALFAIA";"AMAZONAS";"DEPUTADO ESTADUAL";"43015";"PARTIDO VERDE";"1";"SUPLENTE"
"ADALBERTO ROSA BARRETO";"BAHIA";"DEPUTADO ESTADUAL";"65222";"PARTIDO COMUNISTA DO BRASIL";"1";"ELEITO POR QP"
"ADALBERTO SANTOS FILHO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"55505";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"ADALBERTO SOUZA GALVAO";"BAHIA";"1º SUPLENTE";"130";"PARTIDO SOCIALISTA BRASILEIRO";"1";"ELEITO"
"ADALCLEVER RIBEIRO LOPES";"MINAS GERAIS";"GOVERNADOR";"15";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"NAO ELEITO"
"ADALEIA SOUZA DA SILVA ";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"4551";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ADALGISA BREDA PESSOA DE MELLO";"ALAGOAS";"DEPUTADO ESTADUAL";"23444";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"ADALGISA HYODO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"14434";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ADALGISA SEVERINA DOS SANTOS";"PERNAMBUCO";"DEPUTADO FEDERAL";"7733";"SOLIDARIEDADE";"1";"SUPLENTE"
"ADALGISA SOARES ALVES";"MARANHAO";"DEPUTADO ESTADUAL";"45100";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"ADALMARA SANTOS DA SILVA";"AMAZONAS";"DEPUTADO ESTADUAL";"23231";"PARTIDO POPULAR SOCIALISTA";"1";"NAO ELEITO"
"ADALMO ROMILSON ALVES";"PARANA";"DEPUTADO ESTADUAL";"28000";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ADALTO CUSTODIO DE MORAIS";"AMAZONAS";"DEPUTADO ESTADUAL";"27555";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"ADALTO DAS DORES LIMA";"SAO PAULO";"DEPUTADO FEDERAL";"3633";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"ADALTO DE FREITAS FILHO";"MATO GROSSO";"DEPUTADO ESTADUAL";"51456";"PATRIOTA";"1";"SUPLENTE"
"ADALTO DE SANTANA FILHO";"BAHIA";"DEPUTADO FEDERAL";"2777";"DEMOCRACIA CRISTA";"1";"NAO ELEITO"
"ADALTON PASCOAL BISPO";"MINAS GERAIS";"DEPUTADO FEDERAL";"9035";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"ADAMIR NIVALDO ANGHINONI";"PERNAMBUCO";"DEPUTADO ESTADUAL";"27666";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"ADAO ALVES DE CARVALHO";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"43043";"PARTIDO VERDE";"1";"NAO ELEITO"
"ADAO AURELIO JAUVANIR GUIMARAES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"12503";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ADAO CAETANO DA SILVA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"17192";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ADAO CLAITON DE SOUZA LEMOS";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"19191";"PODEMOS";"1";"SUPLENTE"
"ADAO CLEITON LEAL DA SILVA";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"4000";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ADAO DIVINO DO NASCIMENTO";"SAO PAULO";"DEPUTADO FEDERAL";"1013";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
