"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO";"SITUACAO"
"LUIZ CESAR VIVI";"RONDONIA";"DEPUTADO ESTADUAL";"15045";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"LUIZ CLAUDIO DA SILVA CUNHA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"45033";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"LUIZ CLAUDIO DE SOUZA  CARVALHO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"44850";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"LUIZ CLAUDIO DO NASCIMENTO CAVALCANTE";"GOIAS";"DEPUTADO ESTADUAL";"50120";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"LUIZ CLAUDIO GONCALVES BENICIO";"TOCANTINS";"DEPUTADO ESTADUAL";"22333";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"LUIZ CLAUDIO LANES SIQUEIRA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"35313";"PARTIDO DA MULHER BRASILEIRA";"1";"SUPLENTE"
"LUIZ CLAUDIO MACHADO DE BARROS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"17165";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"LUIZ CLAUDIO MARCOLINO";"SAO PAULO";"DEPUTADO ESTADUAL";"13310";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"LUIZ CLAUDIO NOGAROTO AMARAL";"SAO PAULO";"DEPUTADO FEDERAL";"1940";"PODEMOS";"1";"SUPLENTE"
"LUIZ CLAUDIO NUNES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"70727";"AVANTE";"1";"SUPLENTE"
"LUIZ CLAUDIO PEREIRA ALVES";"RONDONIA";"DEPUTADO FEDERAL";"2222";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"LUIZ CLAUDIO RIBEIRO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"90444";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"SUPLENTE"
"LUIZ CLAUDIO ROMANELLI";"PARANA";"DEPUTADO ESTADUAL";"40678";"PARTIDO SOCIALISTA BRASILEIRO";"1";"ELEITO POR QP"
"LUIZ CLAUDIO SANTOS ROSA";"SAO PAULO";"DEPUTADO FEDERAL";"1952";"PODEMOS";"1";"SUPLENTE"
"LUIZ COELHO DE BRITO";"RORAIMA";"DEPUTADO ESTADUAL";"17123";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"LUIZ CRESCENCIO PEREIRA JUNIOR";"CEARA";"DEPUTADO FEDERAL";"3111";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"LUIZ DA COSTA GUEDES JUNIOR";"RIO DE JANEIRO";"2º SUPLENTE";"100";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"LUIZ DA SILVA MACHADO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1144";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"LUIZ DE FRANCA E SILVA MEIRA";"PERNAMBUCO";"DEPUTADO FEDERAL";"4490";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"LUIZ DE FRANCA SILVA DA SILVA";"PARA";"DEPUTADO ESTADUAL";"10190";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"LUIZ DE GONZAGA RIBEIRO DA SILVA";"ACRE";"DEPUTADO ESTADUAL";"17193";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"LUIZ DE MOURA PEREIRA";"SAO PAULO";"DEPUTADO ESTADUAL";"12123";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"LUIZ DE SOUSA SANTOS";"RORAIMA";"DEPUTADO FEDERAL";"9077";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"NAO ELEITO"
"LUIZ DELVAIR MARTINS BARROS";"RIO GRANDE DO SUL";"SENADOR";"290";"PARTIDO DA CAUSA OPERARIA";"1";"NAO ELEITO"
"LUIZ EDUARDO ALMANCA";"SAO PAULO";"DEPUTADO ESTADUAL";"12222";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1717";"PARTIDO SOCIAL LIBERAL";"1";"ELEITO POR QP"
"LUIZ EDUARDO FRANCO DE ANDRADE";"PARANA";"DEPUTADO ESTADUAL";"12121";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"LUIZ EDUARDO GOMES  DE ALMEIDA ";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1911";"PODEMOS";"1";"SUPLENTE"
"LUIZ EDUARDO LAGO CARDOSO DE CASTRO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"17007";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"LUIZ EDUARDO MARTINS";"SAO PAULO";"DEPUTADO FEDERAL";"4408";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"LUIZ EDUARDO OLIVEIRA ALVES";"SAO PAULO";"DEPUTADO ESTADUAL";"19630";"PODEMOS";"1";"SUPLENTE"
"LUIZ EDUARDO OLIVEIRA DIAS DE SA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"28088";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"LUIZ EDUARDO PIMENTEL DOS SANTOS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"35334";"PARTIDO DA MULHER BRASILEIRA";"1";"SUPLENTE"
"LUIZ EDUARDO SCAFF";"SAO PAULO";"DEPUTADO ESTADUAL";"17798";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"LUIZ EROLDSON PINHEIRO";"CEARA";"DEPUTADO FEDERAL";"3627";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"LUIZ EUGENIO HONORATO";"RIO DE JANEIRO";"GOVERNADOR";"29";"PARTIDO DA CAUSA OPERARIA";"1";"NAO ELEITO"
"LUIZ EUGENIO OLIVEIRA FAGUNDES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"55345";"PARTIDO SOCIAL DEMOCRATICO";"1";"NAO ELEITO"
"LUIZ EUSTAQUIO DOS SANTOS";"SAO PAULO";"DEPUTADO ESTADUAL";"31277";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"LUIZ FABIANO DE SOUZA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"14007";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"LUIZ FABIANO PRZYBYSZ";"RONDONIA";"DEPUTADO ESTADUAL";"55007";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"LUIZ FABIO CHEREM";"MINAS GERAIS";"SENADOR";"123";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"NAO ELEITO"
"LUIZ FABIO CRUZ DA SILVA";"SAO PAULO";"DEPUTADO ESTADUAL";"70001";"AVANTE";"1";"SUPLENTE"
"LUIZ FELIPE BALEIA TENUTO ROSSI";"SAO PAULO";"DEPUTADO FEDERAL";"1515";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"ELEITO POR QP"
"LUIZ FELIPE BERGMANN";"PARANA";"DEPUTADO FEDERAL";"5033";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"LUIZ FELIPE DA SILVA BALBINO ";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3178";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"LUIZ FELIPE GUBERT BRAGA CORTES";"PARANA";"DEPUTADO ESTADUAL";"55500";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"LUIZ FELIPPE RIBEIRO ORRO";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"45800";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"ELEITO POR QP"
"LUIZ FERNANDES";"SAO PAULO";"DEPUTADO ESTADUAL";"44118";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"LUIZ FERNANDO ALVES SERPA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"10700";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"LUIZ FERNANDO BORBA PESSANHA ";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"36899";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"LUIZ FERNANDO BRASILIENSE";"SAO PAULO";"DEPUTADO FEDERAL";"5411";"PARTIDO PATRIA LIVRE";"1";"NAO ELEITO"
"LUIZ FERNANDO CARDOSO";"SANTA CATARINA";"DEPUTADO ESTADUAL";"15150";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"ELEITO POR QP"
"LUIZ FERNANDO CASTELO BRANCO REBELLO HORTA";"DISTRITO FEDERAL";"DEPUTADO FEDERAL";"1317";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"LUIZ FERNANDO DA MOTTA E ALBUQUERQUE";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"12747";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"LUIZ FERNANDO DE JESUS";"SAO PAULO";"DEPUTADO FEDERAL";"1823";"REDE SUSTENTABILIDADE";"1";"NAO ELEITO"
"LUIZ FERNANDO DE OLIVEIRA PEDRA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"5569";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"LUIZ FERNANDO DE SOUZA SANTOS";"AMAZONAS";"SENADOR";"500";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"LUIZ FERNANDO FERREIRA DELAZARI";"PARANA";"1º SUPLENTE";"151";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"NAO ELEITO"
"LUIZ FERNANDO FILIPPI SAMBIASE";"SAO PAULO";"DEPUTADO FEDERAL";"5137";"PATRIOTA";"1";"NAO ELEITO"
"LUIZ FERNANDO GUERRA FILHO";"PARANA";"DEPUTADO ESTADUAL";"17017";"PARTIDO SOCIAL LIBERAL";"1";"ELEITO POR QP"
"LUIZ FERNANDO KIST";"RIO GRANDE DO SUL";"1º SUPLENTE";"160";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO";"1";"NAO ELEITO"
"LUIZ FERNANDO LOBAO";"SAO PAULO";"DEPUTADO FEDERAL";"3699";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"LUIZ FERNANDO MAINARDI";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"13555";"PARTIDO DOS TRABALHADORES";"1";"ELEITO POR QP"
"LUIZ FERNANDO NUNES MESSIAS";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"43001";"PARTIDO VERDE";"1";"SUPLENTE"
"LUIZ FERNANDO PORTELLA BARBOSA";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"3535";"PARTIDO DA MULHER BRASILEIRA";"1";"SUPLENTE"
"LUIZ FERNANDO RAMOS FARIA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"11111";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"LUIZ FERNANDO RICCETTO";"SAO PAULO";"DEPUTADO ESTADUAL";"15010";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"LUIZ FERNANDO SANTOS DE CARVALHO";"ALAGOAS";"DEPUTADO ESTADUAL";"28369";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"LUIZ FERNANDO SARMENTO NICOLAU";"AMAZONAS";"DEPUTADO FEDERAL";"5500";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"LUIZ FERNANDO STOPPA";"SAO PAULO";"DEPUTADO ESTADUAL";"13560";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"LUIZ FERNANDO TEIXEIRA FERREIRA";"SAO PAULO";"DEPUTADO ESTADUAL";"13134";"PARTIDO DOS TRABALHADORES";"1";"ELEITO POR QP"
"LUIZ FERREIRA DIAS";"BAHIA";"DEPUTADO FEDERAL";"5411";"PARTIDO PATRIA LIVRE";"1";"SUPLENTE"
"LUIZ FERREIRA TORRES FILHO";"PERNAMBUCO";"DEPUTADO ESTADUAL";"45614";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"NAO ELEITO"
"LUIZ FILIPE BARBOSA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"45245";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"LUIZ FLAVIO DE CASTRO MADEIRA ";"MINAS GERAIS";"DEPUTADO ESTADUAL";"14033";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"LUIZ FLAVIO GOMES";"SAO PAULO";"DEPUTADO FEDERAL";"4001";"PARTIDO SOCIALISTA BRASILEIRO";"1";"ELEITO POR MEDIA"
"LUIZ FLAVIO VIDINHA ALVES";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"70005";"AVANTE";"1";"SUPLENTE"
"LUIZ FURTADO REBELO FILHO";"PARA";"DEPUTADO ESTADUAL";"45111";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"ELEITO POR MEDIA"
"LUIZ GABRIEL TEIXEIRA DE PAULO";"PARA";"DEPUTADO ESTADUAL";"11100";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"LUIZ GALDINO DA SILVA";"ALAGOAS";"DEPUTADO ESTADUAL";"50444";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"LUIZ GARIBALDE RABELO DE MENDONCA";"SERGIPE";"DEPUTADO ESTADUAL";"15000";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"ELEITO POR QP"
"LUIZ GERALDO CABOCLO DOS SANTOS";"PERNAMBUCO";"DEPUTADO FEDERAL";"5150";"PATRIOTA";"1";"SUPLENTE"
"LUIZ GIONILSON PINHEIRO BORGES";"AMAPA";"DEPUTADO FEDERAL";"1512";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"LUIZ GOMES";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"51111";"PATRIOTA";"1";"SUPLENTE"
"LUIZ GOMES DA ROCHA";"ALAGOAS";"DEPUTADO ESTADUAL";"13613";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"LUIZ GOMES FURTADO";"RONDONIA";"DEPUTADO ESTADUAL";"51234";"PATRIOTA";"1";"SUPLENTE"
"LUIZ GONZAGA ALVES FILHO";"ACRE";"DEPUTADO ESTADUAL";"45121";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"ELEITO POR QP"
"LUIZ GONZAGA DE LIMA REGO";"ACRE";"DEPUTADO ESTADUAL";"44100";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"LUIZ GONZAGA DE PONTES LUCENA";"RIO GRANDE DO NORTE";"DEPUTADO FEDERAL";"1414";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"LUIZ GONZAGA LEITE SILVA";"MARANHAO";"DEPUTADO FEDERAL";"4322";"PARTIDO VERDE";"1";"SUPLENTE"
"LUIZ GONZAGA PATRIOTA";"PERNAMBUCO";"DEPUTADO FEDERAL";"4000";"PARTIDO SOCIALISTA BRASILEIRO";"1";"ELEITO POR QP"
"LUIZ GONZAGA RIBEIRO";"MINAS GERAIS";"DEPUTADO FEDERAL";"1231";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"ELEITO POR QP"
"LUIZ GONZAGA VIEIRA DE CAMARGO";"SAO PAULO";"DEPUTADO ESTADUAL";"45245";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"NAO ELEITO"
"LUIZ GOULARTE ALVES";"PARANA";"DEPUTADO FEDERAL";"1080";"PARTIDO REPUBLICANO BRASILEIRO";"1";"ELEITO POR QP"
"LUIZ GUILHERME CAMPOS DE ALMEIDA";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"65088";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"LUIZ GUILHERME LESSA DE FRANCA";"PARA";"DEPUTADO FEDERAL";"7077";"AVANTE";"1";"NAO ELEITO"
"LUIZ GUILHERME MELO RODRIGUES";"PARA";"DEPUTADO ESTADUAL";"35777";"PARTIDO DA MULHER BRASILEIRA";"1";"SUPLENTE"
"LUIZ GUILHERME PINHEIRO DE MEDEIROS";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"30333";"PARTIDO NOVO";"1";"SUPLENTE"
"LUIZ GUSTAVO DA SILVA LIMA";"ALAGOAS";"2º SUPLENTE";"111";"PARTIDO PROGRESSISTA";"1";"NAO ELEITO"
"LUIZ GUSTAVO GURGEL PINHEIRO";"CEARA";"DEPUTADO ESTADUAL";"70001";"AVANTE";"1";"SUPLENTE"
"LUIZ GUSTAVO MATIAS SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"33633";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"NAO ELEITO"
"LUIZ GUSTAVO ROSA SAMPAIO";"GOIAS";"DEPUTADO ESTADUAL";"27000";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"LUIZ GUSTAVO SALATINO DE OLIVEIRA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"17888";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"LUIZ HENRIQUE CASTELO LIMA";"CEARA";"DEPUTADO ESTADUAL";"51010";"PATRIOTA";"1";"ELEITO POR QP"
"LUIZ HENRIQUE CORDEIRO VIANA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"45555";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"ELEITO POR QP"
"LUIZ HENRIQUE CORONADO DA PAZ";"SAO PAULO";"DEPUTADO ESTADUAL";"70956";"AVANTE";"1";"SUPLENTE"
"LUIZ HENRIQUE COSTA";"SANTA CATARINA";"DEPUTADO ESTADUAL";"65150";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"LUIZ HENRIQUE DE SOUZA";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"2040";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"LUIZ HENRIQUE FADEL FRAZAO";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"30888";"PARTIDO NOVO";"1";"SUPLENTE"
"LUIZ HENRIQUE LIMA CALAND";"GOIAS";"DEPUTADO FEDERAL";"3555";"PARTIDO DA MULHER BRASILEIRA";"1";"NAO ELEITO"
"LUIZ HENRIQUE MOURA DE SOUZA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"45551";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"LUIZ HENRIQUE POLITA JARDIM TEIXEIRA";"SAO PAULO";"DEPUTADO ESTADUAL";"31040";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"LUIZ HENRIQUE RABELO PIRES";"MINAS GERAIS";"DEPUTADO FEDERAL";"2828";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"LUIZ HENRIQUE RODRIGUES GALVAO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"14456";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"LUIZ HENRIQUE SAPUCAIA REHEM";"BAHIA";"DEPUTADO ESTADUAL";"31234";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"LUIZ HENRIQUE SOUSA DE CARVALHO";"PIAUI";"DEPUTADO ESTADUAL";"13555";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"LUIZ HENRIQUE TROLLE DE BARROS";"GOIAS";"DEPUTADO ESTADUAL";"12312";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"LUIZ HENRIQUE UAQUIM DA SILVA";"BAHIA";"DEPUTADO FEDERAL";"1569";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"NAO ELEITO"
"LUIZ HILOSHI NISHIMORI";"PARANA";"DEPUTADO FEDERAL";"2222";"PARTIDO DA REPUBLICA";"1";"ELEITO POR MEDIA"
"LUIZ HUMBERTO CARNEIRO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"45999";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"ELEITO POR MEDIA"
"LUIZ JACINTO NEPOMUCENO NETO";"SAO PAULO";"DEPUTADO ESTADUAL";"31977";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"LUIZ JANUARIO DE SANTANA";"GOIAS";"DEPUTADO ESTADUAL";"27270";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"LUIZ JEQUITINHANHO DOS SANTOS SILVA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3615";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"LUIZ JOSE DA SILVA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"51000";"PATRIOTA";"1";"NAO ELEITO"
"LUIZ JOSE MARINS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"36044";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"LUIZ JURASKI";"PARANA";"DEPUTADO FEDERAL";"1099";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"LUIZ LAURO FERREIRA FILHO";"SAO PAULO";"DEPUTADO FEDERAL";"4000";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"LUIZ LINDBERGH FARIAS FILHO";"RIO DE JANEIRO";"SENADOR";"131";"PARTIDO DOS TRABALHADORES";"1";"NAO ELEITO"
"LUIZ LINO DE FRANCA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"70444";"AVANTE";"1";"SUPLENTE"
"LUIZ MANOEL FRANCISCO";"SAO PAULO";"DEPUTADO ESTADUAL";"15021";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"LUIZ MARCELO CABRAL TAVARES";"MINAS GERAIS";"DEPUTADO FEDERAL";"3013";"PARTIDO NOVO";"1";"SUPLENTE"
"LUIZ MARCELO CARDOSO";"PARANA";"DEPUTADO FEDERAL";"5005";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"LUIZ MARCOS DE OLIVEIRA MUILER";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"31333";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"ELEITO POR QP"
"LUIZ MARINHO";"SAO PAULO";"GOVERNADOR";"13";"PARTIDO DOS TRABALHADORES";"1";"NAO ELEITO"
"LUIZ MARIO ANTONIO BITARAES";"MINAS GERAIS";"DEPUTADO ESTADUAL";"25125";"DEMOCRATAS";"1";"SUPLENTE"
"LUIZ MARQUES VALEJO";"MATO GROSSO DO SUL";"1º SUPLENTE";"543";"PARTIDO PATRIA LIVRE";"1";"NAO ELEITO"
"LUIZ MARTINIANO DE AQUINO";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"31601";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"LUIZ MARTINO TURCO";"SAO PAULO";"DEPUTADO ESTADUAL";"13690";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"LUIZ MATIAS DA SILVA";"BAHIA";"DEPUTADO ESTADUAL";"25031";"DEMOCRATAS";"1";"SUPLENTE"
"LUIZ MENDES SUETH JUNIOR";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"5110";"PATRIOTA";"1";"NAO ELEITO"
"LUIZ MORAES DA ROCHA";"AMAZONAS";"DEPUTADO ESTADUAL";"23999";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"LUIZ NETO ALVES DE SOUSA";"PIAUI";"DEPUTADO ESTADUAL";"44123";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"SUPLENTE"
"LUIZ NOGUEIRA COUTINHO DE NOVAIS";"BAHIA";"DEPUTADO FEDERAL";"2050";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"LUIZ ODORICO MONTEIRO DE ANDRADE";"CEARA";"DEPUTADO FEDERAL";"4040";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"LUIZ OTAVIO DE VERCOSA CHA";"AMAZONAS";"DEPUTADO ESTADUAL";"15131";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"SUPLENTE"
"LUIZ OTAVIO FERREIRA DE SOUZA NAZAR";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"19999";"PODEMOS";"1";"SUPLENTE"
"LUIZ OTAVIO FONTANA BALDIN";"SANTA CATARINA";"DEPUTADO FEDERAL";"3001";"PARTIDO NOVO";"1";"SUPLENTE"
"LUIZ PAULO CORREA DA ROCHA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"45678";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"ELEITO POR QP"
"LUIZ PAULO DE CARVALHO VALENTE";"PARA";"DEPUTADO ESTADUAL";"54222";"PARTIDO PATRIA LIVRE";"1";"SUPLENTE"
"LUIZ PAULO RODRIGUES CASTELO";"AMAPA";"DEPUTADO ESTADUAL";"36360";"PARTIDO TRABALHISTA CRISTAO";"1";"SUPLENTE"
"LUIZ PAULO SALGADO";"SAO PAULO";"DEPUTADO ESTADUAL";"22111";"PARTIDO DA REPUBLICA";"1";"SUPLENTE"
"LUIZ PAULO TEIXEIRA FERREIRA";"SAO PAULO";"DEPUTADO FEDERAL";"1398";"PARTIDO DOS TRABALHADORES";"1";"ELEITO POR QP"
"LUIZ PAULO VELLOZO LUCAS";"ESPIRITO SANTO";"DEPUTADO FEDERAL";"2345";"PARTIDO POPULAR SOCIALISTA";"1";"SUPLENTE"
"LUIZ PEDRO DE OLIVEIRA E SILVA";"MARANHAO";"DEPUTADO FEDERAL";"1365";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"LUIZ PEREIRA DO NASCIMENTO";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"55100";"PARTIDO SOCIAL DEMOCRATICO";"1";"SUPLENTE"
"LUIZ PHILIPPE DE ORLEANS BRAGANCA";"SAO PAULO";"DEPUTADO FEDERAL";"1702";"PARTIDO SOCIAL LIBERAL";"1";"ELEITO POR QP"
"LUIZ PIMENTEL SOBRAL";"BAHIA";"DEPUTADO ESTADUAL";"19123";"PODEMOS";"1";"SUPLENTE"
"LUIZ PINTO COELHO";"CEARA";"DEPUTADO ESTADUAL";"51051";"PATRIOTA";"1";"SUPLENTE"
"LUIZ REIS PINHEIRO";"AMAPA";"DEPUTADO ESTADUAL";"13133";"PARTIDO DOS TRABALHADORES";"1";"NAO ELEITO"
"LUIZ RENATO OLIVEIRA JORGE HAULY";"PARANA";"DEPUTADO ESTADUAL";"45345";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"1";"SUPLENTE"
"LUIZ RICARDO DE REZENDE TINOCO";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"17333";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
